id;file;file_content_type;price
1;../fake-data/blob/hipster.png;image/png;46695
2;../fake-data/blob/hipster.png;image/png;64102
3;../fake-data/blob/hipster.png;image/png;88021
4;../fake-data/blob/hipster.png;image/png;42195
5;../fake-data/blob/hipster.png;image/png;69771
6;../fake-data/blob/hipster.png;image/png;82184
7;../fake-data/blob/hipster.png;image/png;37349
8;../fake-data/blob/hipster.png;image/png;49810
9;../fake-data/blob/hipster.png;image/png;8381
10;../fake-data/blob/hipster.png;image/png;36644
